Discipline,Specialty,Year,OutDiscRef,OutDiscCit
Biology,Ecology,1954,0.36,0.31
Biology,Ecology,1955,0.36,0.28
Biology,Ecology,1956,0.32,0.27
Biology,Ecology,1957,0.32,0.29
Biology,Ecology,1958,0.33,0.28
Biology,Ecology,1959,0.42,0.24
Biology,Ecology,1960,0.39,0.24
Biology,Ecology,1961,0.41,0.26
Biology,Ecology,1962,0.35,0.23
Biology,Ecology,1963,0.32,0.23
Biology,Ecology,1964,0.37,0.28
Biology,Ecology,1965,0.28,0.2
Biology,Ecology,1966,0.34,0.23
Biology,Ecology,1967,0.35,0.21
Biology,Ecology,1968,0.3,0.22
Biology,Ecology,1969,0.33,0.23
Biology,Ecology,1970,0.3,0.2
Biology,Ecology,1971,0.27,0.23
Biology,Ecology,1972,0.27,0.24
Biology,Ecology,1973,0.27,0.21
Biology,Ecology,1974,0.28,0.21
Biology,Ecology,1975,0.26,0.22
Biology,Ecology,1976,0.3,0.22
Biology,Ecology,1977,0.27,0.2
Biology,Ecology,1978,0.27,0.22
Biology,Ecology,1979,0.28,0.22
Biology,Ecology,1980,0.27,0.2
Biology,Ecology,1981,0.27,0.2
Biology,Ecology,1982,0.25,0.2
Biology,Ecology,1983,0.26,0.19
Biology,Ecology,1984,0.25,0.2
Biology,Ecology,1985,0.23,0.21
Biology,Ecology,1986,0.25,0.23
Biology,Ecology,1987,0.24,0.22
Biology,Ecology,1988,0.23,0.22
Biology,Ecology,1989,0.23,0.22
Biology,Ecology,1990,0.22,0.23
Biology,Ecology,1991,0.25,0.24
Biology,Ecology,1992,0.24,0.25
Biology,Ecology,1993,0.24,0.24
Biology,Ecology,1994,0.25,0.25
Biology,Ecology,1995,0.25,0.26
Biology,Ecology,1996,0.25,0.25
Biology,Ecology,1997,0.24,0.25
Biology,Ecology,1998,0.25,0.27
Biology,Ecology,1999,0.26,0.26
Biology,Ecology,2000,0.25,0.27
Biology,Ecology,2001,0.25,0.27
Biology,Ecology,2002,0.27,0.27
Biology,Ecology,2003,0.26,0.28
Biology,Ecology,2004,0.27,0.28
Biology,Ecology,2005,0.28,0.29
Biology,Ecology,2006,0.29,0.3
Biology,Ecology,2007,0.3,0.33
Biology,Ecology,2008,0.31,0.34
Biology,Ecology,2009,0.32,0.35
Biology,Ecology,2010,0.33,0.37
Biology,Ecology,2011,0.34,0.37
Biology,Ecology,2012,0.35,0.4
Biology,Ecology,2013,0.36,0.4
Biology,Ecology,2014,0.37,0.38
Biology,Entomology,1950,0.22,0.19
Biology,Entomology,1951,0.27,0.21
Biology,Entomology,1952,0.24,0.17
Biology,Entomology,1953,0.3,0.23
Biology,Entomology,1954,0.25,0.18
Biology,Entomology,1955,0.19,0.21
Biology,Entomology,1956,0.31,0.19
Biology,Entomology,1957,0.33,0.23
Biology,Entomology,1958,0.32,0.26
Biology,Entomology,1959,0.37,0.23
Biology,Entomology,1960,0.38,0.22
Biology,Entomology,1961,0.4,0.24
Biology,Entomology,1962,0.39,0.23
Biology,Entomology,1963,0.37,0.24
Biology,Entomology,1964,0.35,0.23
Biology,Entomology,1965,0.34,0.19
Biology,Entomology,1966,0.38,0.22
Biology,Entomology,1967,0.4,0.22
Biology,Entomology,1968,0.38,0.23
Biology,Entomology,1969,0.34,0.25
Biology,Entomology,1970,0.35,0.24
Biology,Entomology,1971,0.36,0.23
Biology,Entomology,1972,0.35,0.23
Biology,Entomology,1973,0.36,0.27
Biology,Entomology,1974,0.38,0.24
